Dataset,Set,Approach,Metric,Value,Method,File,Specs
AISHELL-4,,Baseline,Purity,0.63991,,S_R003S04C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.90281,,S_R003S04C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.77383,,S_R004S01C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.94741,,S_R004S01C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.33689,,S_R004S01C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.99383,,S_R004S01C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.85623,,L_R003S03C02,xvec_ahc
AISHELL-4,,Baseline,JER,0.95598,,L_R003S03C02,xvec_ahc
AISHELL-4,,Baseline,Purity,0.35704,,L_R003S03C02,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.9987,,L_R003S03C02,xvec_ahc
AISHELL-4,,Baseline,DER,0.84282,,M_R003S04C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.95718,,M_R003S04C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.39247,,M_R003S04C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.98666,,M_R003S04C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.85095,,L_R004S06C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.96229,,L_R004S06C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.24953,,L_R004S06C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.98543,,L_R004S06C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.93647,,M_R003S02C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.98076,,M_R003S02C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.2877,,M_R003S02C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.9963,,M_R003S02C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.74752,,S_R004S03C01,xvec_ahc
AISHELL-4,,Baseline,JER,0.93213,,S_R004S03C01,xvec_ahc
AISHELL-4,,Baseline,Purity,0.31887,,S_R004S03C01,xvec_ahc
AISHELL-4,,Baseline,Coverage,0.98751,,S_R004S03C01,xvec_ahc
AISHELL-4,,Baseline,DER,0.92993,,L_R003S01C02,xvec_ahc
AISHELL-4,,Baseline,JER,0.96587,,L_R003S01C02,xvec_ahc
AISHELL-4,,Baseline,Purity,0.26149,,L_R003S01C02,xvec_ahc
