Dataset,Set,Version,Approach,Metric,Value,Method,File
AISHELL-4,,3.1,Global,Coverage,0.90772,WhisperX,S_R003S02C01
AISHELL-4,,3.1,Global,DER,0.29387,WhisperX,M_R003S01C01
AISHELL-4,,3.1,Global,JER,0.32354,WhisperX,M_R003S01C01
AISHELL-4,,3.1,Global,Purity,0.8588,WhisperX,M_R003S01C01
AISHELL-4,,3.1,Global,Coverage,0.8588,WhisperX,M_R003S01C01
AISHELL-4,,3.1,Global,DER,0.14776,WhisperX,S_R004S02C01
AISHELL-4,,3.1,Global,JER,0.19533,WhisperX,S_R004S02C01
AISHELL-4,,3.1,Global,Purity,0.96518,WhisperX,S_R004S02C01
AISHELL-4,,3.1,Global,Coverage,0.96412,WhisperX,S_R004S02C01
AISHELL-4,,3.1,Global,DER,0.23868,WhisperX,S_R003S03C01
AISHELL-4,,3.1,Global,JER,0.26158,WhisperX,S_R003S03C01
AISHELL-4,,3.1,Global,Purity,0.90816,WhisperX,S_R003S03C01
AISHELL-4,,3.1,Global,Coverage,0.89857,WhisperX,S_R003S03C01
AISHELL-4,,3.1,Global,DER,0.12853,WhisperX,S_R004S04C01
AISHELL-4,,3.1,Global,JER,0.14012,WhisperX,S_R004S04C01
AISHELL-4,,3.1,Global,Purity,0.97916,WhisperX,S_R004S04C01
AISHELL-4,,3.1,Global,Coverage,0.97916,WhisperX,S_R004S04C01
AISHELL-4,,3.1,Global,DER,0.26714,WhisperX,L_R003S04C02
AISHELL-4,,3.1,Global,JER,0.34517,WhisperX,L_R003S04C02
AISHELL-4,,3.1,Global,Purity,0.90958,WhisperX,L_R003S04C02
AISHELL-4,,3.1,Global,Coverage,0.90958,WhisperX,L_R003S04C02
AISHELL-4,,3.1,Global,DER,0.22173,WhisperX,L_R003S02C02
AISHELL-4,,3.1,Global,JER,0.31515,WhisperX,L_R003S02C02
AISHELL-4,,3.1,Global,Purity,0.91305,WhisperX,L_R003S02C02
AISHELL-4,,3.1,Global,Coverage,0.91305,WhisperX,L_R003S02C02
AISHELL-4,,3.1,Global,DER,0.32614,WhisperX,S_R003S04C01
AISHELL-4,,3.1,Global,JER,0.47503,WhisperX,S_R003S04C01
AISHELL-4,,3.1,Global,Purity,0.75551,WhisperX,S_R003S04C01
AISHELL-4,,3.1,Global,Coverage,0.75161,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Baseline,DER,0.17005,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Baseline,JER,0.20394,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Baseline,Purity,0.96867,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Baseline,Coverage,0.96867,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Baseline,DER,0.40842,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Baseline,JER,0.605,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Baseline,Purity,0.70416,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Baseline,Coverage,0.8179,WhisperX,L_R003S03C02
