Dataset,Set,Approach,Metric,Value,Method,File
AMI,,Baseline,JER,0.72541,,EN2002c
AMI,,Baseline,Purity,0.55483,,EN2002c
AMI,,Baseline,Coverage,0.29916,,EN2002c
AMI,,Baseline,DER,0.84715,,EN2002b
AMI,,Baseline,JER,0.75593,,EN2002b
AMI,,Baseline,Purity,0.49584,,EN2002b
AMI,,Baseline,Coverage,0.27575,,EN2002b
AMI,,Baseline,DER,0.92752,,IS1009d
AMI,,Baseline,JER,0.78472,,IS1009d
AMI,,Baseline,Purity,0.51605,,IS1009d
AMI,,Baseline,Coverage,0.25863,,IS1009d
AMI,,Baseline,DER,1.16741,,TS3003a
AMI,,Baseline,JER,0.90587,,TS3003a
AMI,,Baseline,Purity,0.75049,,TS3003a
AMI,,Baseline,Coverage,0.22918,,TS3003a
AMI,,Baseline,DER,0.71079,,ES2004b
AMI,,Baseline,JER,0.62631,,ES2004b
AMI,,Baseline,Purity,0.64529,,ES2004b
AMI,,Baseline,Coverage,0.40401,,ES2004b
AMI,,Exact,DER,0.68631,,IS1009b
AMI,,Exact,JER,0.70158,,IS1009b
AMI,,Exact,Purity,0.43736,,IS1009b
AMI,,Exact,Coverage,0.52859,,IS1009b
AMI,,Exact,DER,0.6941,,EN2002d
AMI,,Exact,JER,0.73586,,EN2002d
AMI,,Exact,Purity,0.40615,,EN2002d
AMI,,Exact,Coverage,0.5012,,EN2002d
AMI,,Exact,DER,0.84997,,TS3003c
AMI,,Exact,JER,0.71932,,TS3003c
AMI,,Exact,Purity,0.51426,,TS3003c
AMI,,Exact,Coverage,0.52507,,TS3003c
AMI,,Exact,DER,0.69096,,ES2004d
AMI,,Exact,JER,0.69979,,ES2004d
AMI,,Exact,Purity,0.49922,,ES2004d
AMI,,Exact,Coverage,0.61163,,ES2004d
AMI,,Exact,DER,0.85541,,TS3003b
AMI,,Exact,JER,0.82815,,TS3003b
AMI,,Exact,Purity,0.41443,,TS3003b
AMI,,Exact,Coverage,0.4112,,TS3003b
AMI,,Exact,DER,0.77995,,ES2004a
AMI,,Exact,JER,0.74332,,ES2004a
AMI,,Exact,Purity,0.50053,,ES2004a
AMI,,Exact,Coverage,0.5096,,ES2004a
AMI,,Exact,DER,0.64833,,IS1009c
AMI,,Exact,JER,0.65922,,IS1009c
AMI,,Exact,Purity,0.55008,,IS1009c
AMI,,Exact,Coverage,0.61025,,IS1009c
AMI,,Exact,DER,0.68083,,EN2002a
AMI,,Exact,JER,0.72544,,EN2002a
AMI,,Exact,Purity,0.409,,EN2002a
AMI,,Exact,Coverage,0.47921,,EN2002a
AMI,,Exact,DER,0.622,,ES2004c
AMI,,Exact,JER,0.67407,,ES2004c
AMI,,Exact,Purity,0.52756,,ES2004c
AMI,,Exact,Coverage,0.5382,,ES2004c
AMI,,Exact,DER,0.93952,,TS3003d
AMI,,Exact,JER,0.83951,,TS3003d
AMI,,Exact,Purity,0.49534,,TS3003d
AMI,,Exact,Coverage,0.38404,,TS3003d
AMI,,Exact,DER,0.91773,,IS1009a
AMI,,Exact,JER,0.81555,,IS1009a
AMI,,Exact,Purity,0.56758,,IS1009a
AMI,,Exact,Coverage,0.41161,,IS1009a
AMI,,Exact,DER,0.58013,,EN2002c
AMI,,Exact,JER,0.60187,,EN2002c
AMI,,Exact,Purity,0.51072,,EN2002c
AMI,,Exact,Coverage,0.6931,,EN2002c
AMI,,Exact,DER,0.65739,,EN2002b
AMI,,Exact,JER,0.67182,,EN2002b
AMI,,Exact,Purity,0.4884,,EN2002b
AMI,,Exact,Coverage,0.57461,,EN2002b
AMI,,Exact,DER,0.79233,,IS1009d
AMI,,Exact,JER,0.76874,,IS1009d
AMI,,Exact,Purity,0.41919,,IS1009d
AMI,,Exact,Coverage,0.44164,,IS1009d
AMI,,Exact,DER,1.01867,,TS3003a
AMI,,Exact,JER,0.85721,,TS3003a
AMI,,Exact,Purity,0.75049,,TS3003a
AMI,,Exact,Coverage,0.36958,,TS3003a
AMI,,Exact,DER,0.54189,,ES2004b
AMI,,Exact,JER,0.58077,,ES2004b
AMI,,Exact,Purity,0.62955,,ES2004b
AMI,,Exact,Coverage,0.60071,,ES2004b
VoxConverse,,Baseline,DER,0.90477,,wemos
VoxConverse,,Baseline,JER,0.86204,,wemos
VoxConverse,,Baseline,Purity,0.57174,,wemos
VoxConverse,,Baseline,Coverage,0.35868,,wemos
VoxConverse,,Baseline,DER,0.67391,,duvox
VoxConverse,,Baseline,JER,0.76266,,duvox
VoxConverse,,Baseline,Purity,0.83231,,duvox
VoxConverse,,Baseline,Coverage,0.43266,,duvox
VoxConverse,,Baseline,DER,0.85742,,cqfmj
VoxConverse,,Baseline,JER,0.87412,,cqfmj
VoxConverse,,Baseline,Purity,0.74751,,cqfmj
VoxConverse,,Baseline,Coverage,0.24632,,cqfmj
VoxConverse,,Baseline,DER,0.82247,,cawnd
VoxConverse,,Baseline,JER,0.9008,,cawnd
VoxConverse,,Baseline,Purity,0.51169,,cawnd
VoxConverse,,Baseline,Coverage,0.25003,,cawnd
VoxConverse,,Baseline,DER,0.68319,,jsymf
VoxConverse,,Baseline,JER,0.79165,,jsymf
VoxConverse,,Baseline,Purity,0.7587,,jsymf
VoxConverse,,Baseline,Coverage,0.42198,,jsymf
VoxConverse,,Baseline,DER,0.79052,,gzhwb
VoxConverse,,Baseline,JER,0.80606,,gzhwb
VoxConverse,,Baseline,Purity,0.80906,,gzhwb
VoxConverse,,Baseline,Coverage,0.38077,,gzhwb
VoxConverse,,Baseline,DER,0.71235,,eucfa
VoxConverse,,Baseline,JER,0.69041,,eucfa
VoxConverse,,Baseline,Purity,0.75513,,eucfa
VoxConverse,,Baseline,Coverage,0.37408,,eucfa
VoxConverse,,Baseline,DER,0.78255,,usqam
VoxConverse,,Baseline,JER,0.90316,,usqam
VoxConverse,,Baseline,Purity,0.41355,,usqam
VoxConverse,,Baseline,Coverage,0.36051,,usqam
VoxConverse,,Baseline,DER,0.64061,,dgvwu
VoxConverse,,Baseline,JER,0.81873,,dgvwu
VoxConverse,,Baseline,Purity,0.5863,,dgvwu
VoxConverse,,Baseline,Coverage,0.45027,,dgvwu
VoxConverse,,Baseline,DER,0.84848,,iiprr
VoxConverse,,Baseline,JER,0.86819,,iiprr
VoxConverse,,Baseline,Purity,0.5673,,iiprr
VoxConverse,,Baseline,Coverage,0.26361,,iiprr
VoxConverse,,Baseline,DER,0.82579,,uedkc
VoxConverse,,Baseline,JER,0.88983,,uedkc
VoxConverse,,Baseline,Purity,0.66412,,uedkc
VoxConverse,,Baseline,Coverage,0.26534,,uedkc
VoxConverse,,Baseline,DER,0.74714,,ygrip
VoxConverse,,Baseline,JER,0.87577,,ygrip
VoxConverse,,Baseline,Purity,0.84906,,ygrip
VoxConverse,,Baseline,Coverage,0.32228,,ygrip
VoxConverse,,Baseline,DER,0.80274,,qeejz
VoxConverse,,Baseline,JER,0.89234,,qeejz
