D,Spk,OS,SNR,DER
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(10.0 - 13.0],26.431
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],5.247
(18.792 - 30.494],(7 - 10],(3.0 - 5.0],(35.0 - 59.0],8.758
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],5.387
(5.318 - 18.792],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],9.709
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(35.0 - 59.0],2.704
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],8.774
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],4.285
(18.792 - 30.494],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],14.629
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],11.621
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],17.822
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],9.457
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],21.053
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],2.489
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(20.0 - 24.8],1.963
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(20.0 - 24.8],28.7
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],8.047
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],13.203
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(10.0 - 13.0],10.049
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],10.968
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],9.486
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(16.0 - 20.0],2.448
(18.792 - 30.494],(5 - 7],(9.0 - 14.0],(24.8 - 29.0],15.936
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],17.265
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],14.897
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],4.687
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],25.336
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],2.508
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],5.174
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],9.217
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],11.62
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(16.0 - 20.0],34.183
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(16.0 - 20.0],6.652
(1.071 - 2.033],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],7.148
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],8.306
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],2.104
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],8.595
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(24.8 - 29.0],19.93
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],5.419
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],7.358
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],10.56
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],20.566
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],4.247
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],38.47
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],7.638
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],11.011
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],3.857
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],17.13
(18.792 - 30.494],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],6.735
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],5.043
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(16.0 - 20.0],13.533
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(29.0 - 35.0],6.665
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],10.206
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],14.895
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],2.059
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],35.056
(5.318 - 18.792],(5 - 7],(1.0 - 2.0],(20.0 - 24.8],20.252
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],39.075
(1.071 - 2.033],[1 - 2],(5.0 - 9.0],(24.8 - 29.0],6.403
(2.033 - 5.318],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],16.085
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(20.0 - 24.8],21.763
(1.071 - 2.033],[1 - 2],(14.0 - 93.0],(24.8 - 29.0],5.088
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],5.206
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(13.0 - 16.0],25.875
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],9.344
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],5.276
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],5.603
(2.033 - 5.318],(4 - 5],(2.0 - 3.0],(29.0 - 35.0],14.511
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],8.416
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.036
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],13.106
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],6.987
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],11.012
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(29.0 - 35.0],17.588
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],7.362
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],5.511
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],7.805
(18.792 - 30.494],(5 - 7],(2.0 - 3.0],(16.0 - 20.0],3.645
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],10.681
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],26.467
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(35.0 - 59.0],8.987
(5.318 - 18.792],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],11.807
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],5.524
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(24.8 - 29.0],19.754
(5.318 - 18.792],(7 - 10],(5.0 - 9.0],(24.8 - 29.0],14.061
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],12.893
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],4.909
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(20.0 - 24.8],12.179
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],7.262
