D,Spk,OS,SNR,Coverage
(1.466 - 3.204],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],20.497
(1.466 - 3.204],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],29.902
(0.42 - 0.587],[1 - 2],(8.0 - 13.0],(13.0 - 17.0],20.411
(0.335 - 0.42],(2 - 3],(1.0 - 2.0],(4.0 - 8.0],26.299
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],18.74
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],25.115
(0.884 - 1.466],[1 - 2],(5.0 - 8.0],(4.0 - 8.0],20.011
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],(13.0 - 17.0],25.401
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],21.454
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],(8.0 - 10.0],30.118
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],20.21
(0.42 - 0.587],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],25.62
(0.42 - 0.587],[1 - 2],(1.0 - 2.0],(21.0 - 25.0],24.129
(0.335 - 0.42],(2 - 3],(3.0 - 5.0],(17.0 - 21.0],26.889
(0.42 - 0.587],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],35.128
(0.587 - 0.884],[1 - 2],(2.0 - 3.0],[0.0 - 4.0],25.442
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],28.243
(0.335 - 0.42],(2 - 3],(3.0 - 5.0],(4.0 - 8.0],26.657
(0.42 - 0.587],(2 - 3],(2.0 - 3.0],(4.0 - 8.0],28.193
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],27.685
(0.884 - 1.466],(3 - 4],(3.0 - 5.0],(4.0 - 8.0],30.074
(0.42 - 0.587],[1 - 2],(3.0 - 5.0],(17.0 - 21.0],20.644
(0.335 - 0.42],[1 - 2],(2.0 - 3.0],(21.0 - 25.0],36.676
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],28.151
(0.42 - 0.587],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],27.927
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],27.503
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],22.006
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],28.784
(1.466 - 3.204],(3 - 4],(3.0 - 5.0],(8.0 - 10.0],29.049
(0.587 - 0.884],(3 - 4],[0.0 - 1.0],(4.0 - 8.0],31.334
(0.587 - 0.884],[1 - 2],(1.0 - 2.0],(4.0 - 8.0],27.893
(0.884 - 1.466],(3 - 4],(13.0 - 63.0],(8.0 - 10.0],22.289
(0.587 - 0.884],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],18.782
(0.335 - 0.42],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],29.083
(0.884 - 1.466],(2 - 3],(13.0 - 63.0],(4.0 - 8.0],24.33
(0.884 - 1.466],(2 - 3],(13.0 - 63.0],(8.0 - 10.0],23.734
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],35.967
(0.587 - 0.884],(3 - 4],(8.0 - 13.0],(10.0 - 13.0],26.012
(0.884 - 1.466],(2 - 3],(13.0 - 63.0],(4.0 - 8.0],27.142
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],32.969
(3.204 - 11.811],(2 - 3],[0.0 - 1.0],(25.0 - 29.0],17.776
(1.466 - 3.204],[1 - 2],(3.0 - 5.0],(8.0 - 10.0],34.94
(1.466 - 3.204],[1 - 2],(2.0 - 3.0],(25.0 - 29.0],22.076
(0.335 - 0.42],(2 - 3],[0.0 - 1.0],(8.0 - 10.0],36.178
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(17.0 - 21.0],30.028
(0.335 - 0.42],(3 - 4],(13.0 - 63.0],(10.0 - 13.0],25.389
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],22.237
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],29.122
(0.587 - 0.884],[1 - 2],(13.0 - 63.0],(17.0 - 21.0],30.616
(0.587 - 0.884],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],26.525
(0.884 - 1.466],[1 - 2],(5.0 - 8.0],[0.0 - 4.0],22.932
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],20.608
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],32.854
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],25.877
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],24.529
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],20.901
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],(25.0 - 29.0],30.079
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],29.501
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],31.546
(0.587 - 0.884],[1 - 2],(13.0 - 63.0],[0.0 - 4.0],18.395
(0.335 - 0.42],[1 - 2],(8.0 - 13.0],(29.0 - 36.0],33.477
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],31.255
(0.587 - 0.884],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],29.178
(1.466 - 3.204],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],20.888
(0.884 - 1.466],[1 - 2],(8.0 - 13.0],(13.0 - 17.0],29.624
(0.335 - 0.42],[1 - 2],(5.0 - 8.0],(4.0 - 8.0],25.689
(0.335 - 0.42],[1 - 2],(8.0 - 13.0],[0.0 - 4.0],27.545
(0.335 - 0.42],[1 - 2],(2.0 - 3.0],(8.0 - 10.0],22.986
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],30.497
(3.204 - 11.811],[1 - 2],(8.0 - 13.0],(21.0 - 25.0],26.337
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],(8.0 - 10.0],29.188
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],31.01
(0.335 - 0.42],(3 - 4],(8.0 - 13.0],(13.0 - 17.0],30.54
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],19.998
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],29.621
(0.42 - 0.587],[1 - 2],(13.0 - 63.0],[0.0 - 4.0],29.862
(0.587 - 0.884],[1 - 2],(13.0 - 63.0],[0.0 - 4.0],32.659
(0.42 - 0.587],(3 - 4],(1.0 - 2.0],(4.0 - 8.0],39.346
(0.42 - 0.587],(3 - 4],(13.0 - 63.0],(4.0 - 8.0],28.518
(1.466 - 3.204],(4 - 5],(8.0 - 13.0],(8.0 - 10.0],33.521
(0.42 - 0.587],(4 - 5],(13.0 - 63.0],(13.0 - 17.0],37.793
(11.811 - 20.001],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],35.757
(0.884 - 1.466],(4 - 5],(8.0 - 13.0],(10.0 - 13.0],27.812
(0.884 - 1.466],(4 - 5],(8.0 - 13.0],[0.0 - 4.0],38.927
(0.884 - 1.466],(5 - 7],(8.0 - 13.0],[0.0 - 4.0],33.315
(0.587 - 0.884],(4 - 5],(13.0 - 63.0],(13.0 - 17.0],35.029
(0.42 - 0.587],(4 - 5],(5.0 - 8.0],[0.0 - 4.0],32.218
(0.42 - 0.587],(5 - 7],(13.0 - 63.0],[0.0 - 4.0],37.33
(0.884 - 1.466],(7 - 10],(5.0 - 8.0],(8.0 - 10.0],34.534
(0.335 - 0.42],(5 - 7],(3.0 - 5.0],(4.0 - 8.0],34.46
(0.587 - 0.884],(4 - 5],(8.0 - 13.0],(10.0 - 13.0],39.157
(0.884 - 1.466],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],26.46
(0.587 - 0.884],(4 - 5],(13.0 - 63.0],(8.0 - 10.0],31.13
(3.204 - 11.811],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],38.506
(1.466 - 3.204],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],40.871
(0.587 - 0.884],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],36.228
(0.335 - 0.42],(5 - 7],(13.0 - 63.0],(8.0 - 10.0],35.158
(0.884 - 1.466],(4 - 5],(1.0 - 2.0],[0.0 - 4.0],40.704
(3.204 - 11.811],(4 - 5],(8.0 - 13.0],(8.0 - 10.0],29.652
(1.466 - 3.204],(5 - 7],(13.0 - 63.0],(8.0 - 10.0],28.078
(0.884 - 1.466],(4 - 5],(5.0 - 8.0],[0.0 - 4.0],31.843
(1.466 - 3.204],(5 - 7],(13.0 - 63.0],(10.0 - 13.0],23.838
(0.42 - 0.587],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],34.068
(0.587 - 0.884],(5 - 7],(5.0 - 8.0],(10.0 - 13.0],47.68
(0.42 - 0.587],(5 - 7],(5.0 - 8.0],(4.0 - 8.0],43.017
(0.42 - 0.587],(5 - 7],(13.0 - 63.0],[0.0 - 4.0],35.551
(0.335 - 0.42],(5 - 7],(3.0 - 5.0],(4.0 - 8.0],33.736
(1.466 - 3.204],(4 - 5],[0.0 - 1.0],(21.0 - 25.0],41.518
(0.335 - 0.42],(4 - 5],(13.0 - 63.0],(4.0 - 8.0],29.86
(0.42 - 0.587],(4 - 5],(13.0 - 63.0],[0.0 - 4.0],35.238
(0.42 - 0.587],(4 - 5],[0.0 - 1.0],(17.0 - 21.0],36.777
(1.466 - 3.204],(5 - 7],(13.0 - 63.0],(13.0 - 17.0],32.927
(0.335 - 0.42],(7 - 10],(8.0 - 13.0],[0.0 - 4.0],39.386
(0.335 - 0.42],(7 - 10],(13.0 - 63.0],[0.0 - 4.0],38.352
(1.466 - 3.204],(7 - 10],(8.0 - 13.0],(8.0 - 10.0],31.102
(0.884 - 1.466],(5 - 7],(13.0 - 63.0],[0.0 - 4.0],33.298
(0.587 - 0.884],(4 - 5],(13.0 - 63.0],[0.0 - 4.0],30.573
(0.587 - 0.884],(4 - 5],(13.0 - 63.0],[0.0 - 4.0],39.496
(0.335 - 0.42],(7 - 10],(13.0 - 63.0],(4.0 - 8.0],32.157
(1.466 - 3.204],(4 - 5],(13.0 - 63.0],(10.0 - 13.0],27.167
(0.42 - 0.587],(3 - 4],(5.0 - 8.0],[0.0 - 4.0],34.207
(0.335 - 0.42],(4 - 5],(13.0 - 63.0],[0.0 - 4.0],33.321
(0.335 - 0.42],(7 - 10],(13.0 - 63.0],(8.0 - 10.0],47.452
(0.335 - 0.42],(5 - 7],(13.0 - 63.0],(4.0 - 8.0],34.834
(0.884 - 1.466],(7 - 10],(3.0 - 5.0],[0.0 - 4.0],40.754
(0.335 - 0.42],(5 - 7],(8.0 - 13.0],[0.0 - 4.0],31.721
(0.587 - 0.884],(4 - 5],(8.0 - 13.0],[0.0 - 4.0],30.163
(0.335 - 0.42],(5 - 7],(13.0 - 63.0],[0.0 - 4.0],44.809
(1.466 - 3.204],(4 - 5],(3.0 - 5.0],[0.0 - 4.0],22.857
(1.466 - 3.204],(4 - 5],(8.0 - 13.0],(4.0 - 8.0],22.664
(0.884 - 1.466],(7 - 10],(8.0 - 13.0],(10.0 - 13.0],30.688
(0.884 - 1.466],(4 - 5],(5.0 - 8.0],[0.0 - 4.0],26.445
(0.42 - 0.587],(4 - 5],[0.0 - 1.0],[0.0 - 4.0],39.565
(0.884 - 1.466],(4 - 5],(13.0 - 63.0],(4.0 - 8.0],27.822
(0.42 - 0.587],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],30.156
(0.587 - 0.884],(5 - 7],(2.0 - 3.0],(10.0 - 13.0],32.788
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(21.0 - 25.0],35.574
(0.884 - 1.466],(4 - 5],(8.0 - 13.0],(4.0 - 8.0],39.544
(0.42 - 0.587],(5 - 7],(13.0 - 63.0],(4.0 - 8.0],30.448
(0.587 - 0.884],(4 - 5],(13.0 - 63.0],[0.0 - 4.0],39.805
(0.335 - 0.42],(5 - 7],[0.0 - 1.0],(8.0 - 10.0],30.97
(0.335 - 0.42],(4 - 5],(5.0 - 8.0],[0.0 - 4.0],41.752
(0.587 - 0.884],(4 - 5],[0.0 - 1.0],(4.0 - 8.0],33.105
(1.466 - 3.204],(4 - 5],(5.0 - 8.0],(8.0 - 10.0],29.6
(0.884 - 1.466],(4 - 5],(1.0 - 2.0],[0.0 - 4.0],36.541
(0.587 - 0.884],(4 - 5],(13.0 - 63.0],(4.0 - 8.0],29.784
(0.42 - 0.587],(4 - 5],(8.0 - 13.0],(8.0 - 10.0],30.877
(0.884 - 1.466],(4 - 5],(13.0 - 63.0],[0.0 - 4.0],23.588
(0.587 - 0.884],(4 - 5],(1.0 - 2.0],[0.0 - 4.0],39.582
(0.587 - 0.884],(3 - 4],(1.0 - 2.0],(10.0 - 13.0],26.14
(1.466 - 3.204],(4 - 5],(3.0 - 5.0],(21.0 - 25.0],32.113
(0.884 - 1.466],(4 - 5],(8.0 - 13.0],(8.0 - 10.0],27.264
(0.884 - 1.466],(7 - 10],(5.0 - 8.0],(4.0 - 8.0],25.138
(0.42 - 0.587],(7 - 10],(13.0 - 63.0],(4.0 - 8.0],44.836
(0.42 - 0.587],(5 - 7],(8.0 - 13.0],(4.0 - 8.0],43.346
(0.335 - 0.42],(5 - 7],(8.0 - 13.0],[0.0 - 4.0],38.177
(1.466 - 3.204],(7 - 10],(13.0 - 63.0],(4.0 - 8.0],25.749
(11.811 - 20.001],(4 - 5],(2.0 - 3.0],(10.0 - 13.0],27.804
(0.335 - 0.42],(5 - 7],(13.0 - 63.0],[0.0 - 4.0],37.751
(0.884 - 1.466],(7 - 10],(3.0 - 5.0],(4.0 - 8.0],34.77
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(17.0 - 21.0],27.415
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],24.372
(31.029 - 34.876],(2 - 3],(3.0 - 5.0],(29.0 - 36.0],17.39
(20.001 - 31.029],(2 - 3],(5.0 - 8.0],(21.0 - 25.0],24.83
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(25.0 - 29.0],29.166
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(21.0 - 25.0],25.353
(31.029 - 34.876],(2 - 3],(5.0 - 8.0],(21.0 - 25.0],30.209
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(21.0 - 25.0],35.301
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],32.113
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],29.254
(31.029 - 34.876],(2 - 3],(5.0 - 8.0],(13.0 - 17.0],27.183
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(25.0 - 29.0],28.438
(31.029 - 34.876],(2 - 3],(1.0 - 2.0],(25.0 - 29.0],22.473
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],30.154
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],24.588
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],28.98
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],18.449
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],27.134
(31.029 - 34.876],(2 - 3],(2.0 - 3.0],(21.0 - 25.0],33.708
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(21.0 - 25.0],29.613
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],39.499
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],20.357
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],31.034
(31.029 - 34.876],(2 - 3],(2.0 - 3.0],(29.0 - 36.0],28.289
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],28.053
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],23.166
(31.029 - 34.876],(2 - 3],(3.0 - 5.0],(21.0 - 25.0],26.475
(31.029 - 34.876],(2 - 3],(2.0 - 3.0],(29.0 - 36.0],30.449
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],33.949
(31.029 - 34.876],(2 - 3],(2.0 - 3.0],(36.0 - 59.0],23.077
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(21.0 - 25.0],30.337
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(25.0 - 29.0],37.024
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],28.899
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],25.088
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],31.024
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(21.0 - 25.0],27.144
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(17.0 - 21.0],27.709
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],34.398
(31.029 - 34.876],(2 - 3],(1.0 - 2.0],(21.0 - 25.0],31.951
(20.001 - 31.029],(2 - 3],[0.0 - 1.0],(25.0 - 29.0],32.028
(31.029 - 34.876],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],30.297
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],27.651
(20.001 - 31.029],(2 - 3],(3.0 - 5.0],(21.0 - 25.0],26.362
(34.876 - 95.677],(2 - 3],[0.0 - 1.0],(25.0 - 29.0],24.635
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],44.806
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],41.52
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],35.88
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(21.0 - 25.0],32.703
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],39.24
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],44.694
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],48.326
(34.876 - 95.677],(10 - 41],(1.0 - 2.0],(21.0 - 25.0],42.134
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],40.962
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],39.351
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],36.296
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],35.233
(34.876 - 95.677],(10 - 41],(1.0 - 2.0],(25.0 - 29.0],36.268
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],33.783
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(25.0 - 29.0],26.603
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(21.0 - 25.0],38.717
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],37.009
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],39.754
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],33.784
(34.876 - 95.677],(10 - 41],(3.0 - 5.0],(25.0 - 29.0],31.667
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(13.0 - 17.0],40.609
