D,Spk,OS,SNR,Coverage
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],41.416
(11.811 - 20.001],(5 - 7],(5.0 - 8.0],(21.0 - 25.0],31.879
(3.204 - 11.811],(10 - 41],[0.0 - 1.0],(17.0 - 21.0],42.785
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(17.0 - 21.0],51.903
(1.466 - 3.204],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],34.481
(3.204 - 11.811],(7 - 10],(3.0 - 5.0],(25.0 - 29.0],33.116
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],21.85
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],22.606
(3.204 - 11.811],(7 - 10],(1.0 - 2.0],(21.0 - 25.0],38.892
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],28.518
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(4.0 - 8.0],27.225
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(21.0 - 25.0],46.72
(11.811 - 20.001],(5 - 7],(8.0 - 13.0],(17.0 - 21.0],29.975
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(17.0 - 21.0],27.154
(11.811 - 20.001],(3 - 4],[0.0 - 1.0],(36.0 - 59.0],28.772
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],30.884
(3.204 - 11.811],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],25.251
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],63.933
(11.811 - 20.001],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],26.035
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(21.0 - 25.0],33.126
(3.204 - 11.811],[1 - 2],(3.0 - 5.0],(17.0 - 21.0],26.385
(3.204 - 11.811],(4 - 5],(1.0 - 2.0],(29.0 - 36.0],35.846
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(8.0 - 10.0],26.337
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],21.661
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],20.993
(1.466 - 3.204],(7 - 10],(8.0 - 13.0],(4.0 - 8.0],29.071
(11.811 - 20.001],(5 - 7],(1.0 - 2.0],(17.0 - 21.0],38.077
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(21.0 - 25.0],32.175
