D,Spk,OS,SNR,DER
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],11.324
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],24.438
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],12.307
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],39.007
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],2.951
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(20.0 - 24.8],3.67
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(20.0 - 24.8],28.78
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],5.454
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],13.967
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(10.0 - 13.0],15.081
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],32.795
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],13.478
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(16.0 - 20.0],4.979
(18.792 - 30.494],(5 - 7],(9.0 - 14.0],(24.8 - 29.0],26.497
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],21.621
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],28.882
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],7.105
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],29.881
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],6.49
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],12.927
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],11.693
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],23.219
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(16.0 - 20.0],23.388
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(16.0 - 20.0],11.64
(1.071 - 2.033],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],7.303
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],25.088
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],2.673
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],14.291
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(24.8 - 29.0],19.025
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],12.711
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],15.01
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],6.567
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],31.918
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],3.1
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],30.839
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],13.445
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],10.667
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],4.263
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],26.512
(18.792 - 30.494],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],7.334
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],4.469
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(16.0 - 20.0],20.247
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(29.0 - 35.0],10.858
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],14.611
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],16.832
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],1.008
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],25.362
(5.318 - 18.792],(5 - 7],(1.0 - 2.0],(20.0 - 24.8],24.035
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],28.87
(1.071 - 2.033],[1 - 2],(5.0 - 9.0],(24.8 - 29.0],12.348
(2.033 - 5.318],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],33.798
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(20.0 - 24.8],16.181
(1.071 - 2.033],[1 - 2],(14.0 - 93.0],(24.8 - 29.0],22.408
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],9.855
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(13.0 - 16.0],31.742
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],8.417
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],9.386
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],3.229
(2.033 - 5.318],(4 - 5],(2.0 - 3.0],(29.0 - 35.0],13.125
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],8.661
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.279
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],28.206
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],10.138
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],21.078
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(29.0 - 35.0],15.394
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],14.029
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],6.211
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],9.08
(18.792 - 30.494],(5 - 7],(2.0 - 3.0],(16.0 - 20.0],6.056
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],11.843
