D,Spk,OS,SNR,JER
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],51.432
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],11.088
(18.792 - 30.494],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],40.872
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],10.673
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],47.701
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],61.422
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],60.521
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],5.065
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(20.0 - 24.8],2.712
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(20.0 - 24.8],37.697
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],8.05
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],27.898
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(10.0 - 13.0],15.695
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],40.287
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],25.868
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(16.0 - 20.0],4.428
(18.792 - 30.494],(5 - 7],(9.0 - 14.0],(24.8 - 29.0],63.898
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],47.437
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],41.23
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],6.089
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],34.166
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],38.676
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],4.998
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],7.58
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],37.417
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(16.0 - 20.0],62.918
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(16.0 - 20.0],27.955
(1.071 - 2.033],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],6.901
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],34.73
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],2.066
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],8.288
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(24.8 - 29.0],50.279
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],41.013
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],20.3
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],39.074
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],54.185
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],6.43
