D,Spk,OS,SNR,JER
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],67.177
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],68.127
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],2.309
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(20.0 - 24.8],4.563
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(20.0 - 24.8],34.271
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],5.579
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],28.14
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(10.0 - 13.0],41.297
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],43.204
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],40.924
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(16.0 - 20.0],5.071
(18.792 - 30.494],(5 - 7],(9.0 - 14.0],(24.8 - 29.0],72.025
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],62.247
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],62.37
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],16.558
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],37.451
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],81.154
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],11.798
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],11.503
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],44.493
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(16.0 - 20.0],34.49
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(16.0 - 20.0],60.352
(1.071 - 2.033],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],5.575
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],31.963
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],2.624
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],13.645
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(24.8 - 29.0],59.404
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],34.504
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],53.032
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],52.772
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],54.298
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],3.721
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],89.038
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],39.725
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],39.171
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],67.961
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],79.815
(18.792 - 30.494],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],15.41
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],27.836
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(16.0 - 20.0],20.944
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(29.0 - 35.0],27.369
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],28.105
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],16.523
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],1.004
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],69.81
(5.318 - 18.792],(5 - 7],(1.0 - 2.0],(20.0 - 24.8],63.002
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],30.546
(1.071 - 2.033],[1 - 2],(5.0 - 9.0],(24.8 - 29.0],14.374
(2.033 - 5.318],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],24.393
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(20.0 - 24.8],17.495
(1.071 - 2.033],[1 - 2],(14.0 - 93.0],(24.8 - 29.0],25.097
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],37.718
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(13.0 - 16.0],77.418
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],21.796
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],41.112
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],6.815
(2.033 - 5.318],(4 - 5],(2.0 - 3.0],(29.0 - 35.0],48.921
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],8.579
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.279
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],53.932
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],20.625
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],20.732
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(29.0 - 35.0],34.695
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],67.09
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],68.651
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],8.759
(18.792 - 30.494],(5 - 7],(2.0 - 3.0],(16.0 - 20.0],8.558
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],46.228
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],52.124
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(35.0 - 59.0],48.428
(5.318 - 18.792],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],32.677
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],6.992
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(24.8 - 29.0],63.414
(5.318 - 18.792],(7 - 10],(5.0 - 9.0],(24.8 - 29.0],68.201
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],54.051
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],39.883
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(20.0 - 24.8],88.658
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],72.738
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(29.0 - 35.0],68.207
(2.033 - 5.318],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],39.261
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],9.616
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],9.512
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(16.0 - 20.0],48.723
(2.033 - 5.318],(2 - 3],(1.0 - 2.0],(20.0 - 24.8],27.392
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],44.26
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],18.413
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],5.291
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],5.077
(2.033 - 5.318],[1 - 2],(2.0 - 3.0],(7.0 - 10.0],12.037
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],40.805
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],7.551
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],53.568
(18.792 - 30.494],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],9.404
(5.318 - 18.792],(10 - 41],(1.0 - 2.0],(16.0 - 20.0],33.327
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],17.235
