D,Spk,OS,SNR,DER
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(10.0 - 13.0],19.911
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],33.153
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],27.728
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(16.0 - 20.0],5.009
(18.792 - 30.494],(5 - 7],(9.0 - 14.0],(24.8 - 29.0],15.91
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],16.141
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],21.104
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],9.745
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],26.358
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],8.965
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],9.138
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],9.623
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],20.222
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(16.0 - 20.0],25.6
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(16.0 - 20.0],11.094
(1.071 - 2.033],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],8.23
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],17.587
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],2.206
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],10.362
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(24.8 - 29.0],18.346
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],19.318
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],27.905
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],9.28
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],23.966
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],3.283
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],37.259
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],8.348
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],22.943
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],4.391
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],26.472
(18.792 - 30.494],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],15.86
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],6.269
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(16.0 - 20.0],21.546
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(29.0 - 35.0],7.415
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],38.607
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],17.316
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],3.48
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],44.362
(5.318 - 18.792],(5 - 7],(1.0 - 2.0],(20.0 - 24.8],20.108
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],20.156
(1.071 - 2.033],[1 - 2],(5.0 - 9.0],(24.8 - 29.0],20.107
(2.033 - 5.318],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],11.021
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(20.0 - 24.8],25.033
(1.071 - 2.033],[1 - 2],(14.0 - 93.0],(24.8 - 29.0],22.111
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],34.163
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(13.0 - 16.0],28.71
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],12.224
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],32.851
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],3.415
(2.033 - 5.318],(4 - 5],(2.0 - 3.0],(29.0 - 35.0],13.167
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],11.05
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.686
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],14.49
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],16.913
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],16.217
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(29.0 - 35.0],28.745
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],17.52
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],12.369
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],13.176
(18.792 - 30.494],(5 - 7],(2.0 - 3.0],(16.0 - 20.0],6.35
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],16.831
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],35.541
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(35.0 - 59.0],11.288
(5.318 - 18.792],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],19.079
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],10.849
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(24.8 - 29.0],20.862
(5.318 - 18.792],(7 - 10],(5.0 - 9.0],(24.8 - 29.0],20.564
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],20.247
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],6.772
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(20.0 - 24.8],16.435
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],8.37
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(29.0 - 35.0],19.855
(2.033 - 5.318],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],40.875
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],10.07
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],13.144
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(16.0 - 20.0],17.518
(2.033 - 5.318],(2 - 3],(1.0 - 2.0],(20.0 - 24.8],26.006
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],17.079
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],20.834
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],5.872
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],5.325
(2.033 - 5.318],[1 - 2],(2.0 - 3.0],(7.0 - 10.0],14.429
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],28.047
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],6.206
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],9.493
(18.792 - 30.494],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],10.697
(5.318 - 18.792],(10 - 41],(1.0 - 2.0],(16.0 - 20.0],10.821
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],16.259
