D,Spk,OS,SNR,DER
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(4.0 - 8.0],89.807
(11.811 - 20.001],(10 - 41],(3.0 - 5.0],(17.0 - 21.0],85.3
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],81.182
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],87.677
(11.811 - 20.001],[1 - 2],(8.0 - 13.0],(36.0 - 59.0],76.069
(3.204 - 11.811],[1 - 2],(3.0 - 5.0],(17.0 - 21.0],97.73
(11.811 - 20.001],(10 - 41],(2.0 - 3.0],(10.0 - 13.0],97.481
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(8.0 - 10.0],82.636
(11.811 - 20.001],(7 - 10],(3.0 - 5.0],(36.0 - 59.0],77.455
(11.811 - 20.001],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],77.775
(11.811 - 20.001],(7 - 10],(1.0 - 2.0],(29.0 - 36.0],68.319
(3.204 - 11.811],(4 - 5],(1.0 - 2.0],(36.0 - 59.0],63.001
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(25.0 - 29.0],85.742
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],82.002
(11.811 - 20.001],(10 - 41],(5.0 - 8.0],(21.0 - 25.0],67.831
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],82.598
(11.811 - 20.001],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],76.083
(11.811 - 20.001],(4 - 5],[0.0 - 1.0],(21.0 - 25.0],84.017
(11.811 - 20.001],(10 - 41],(8.0 - 13.0],(17.0 - 21.0],80.316
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],77.13
(11.811 - 20.001],(3 - 4],[0.0 - 1.0],(36.0 - 59.0],71.319
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(8.0 - 10.0],93.335
(11.811 - 20.001],(7 - 10],(1.0 - 2.0],(10.0 - 13.0],80.169
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(21.0 - 25.0],68.711
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],86.626
(11.811 - 20.001],(5 - 7],(1.0 - 2.0],(17.0 - 21.0],73.789
(11.811 - 20.001],(5 - 7],(8.0 - 13.0],(21.0 - 25.0],79.502
(0.884 - 1.466],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],71.235
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],87.101
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],81.31
(11.811 - 20.001],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],111.028
(3.204 - 11.811],(5 - 7],[0.0 - 1.0],(13.0 - 17.0],83.677
